Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
B1,02/11/18,Oostende,Charleroi,,,,,,,3.1,3.3,2.3,2.75,3.4,2.55,2.85,3.25,2.4,2.98,3.36,2.52,2.88,3.25,2.4,2.9,3.3,2.45,37,3.1,2.86,3.4,3.29,2.65,2.45,35,2,1.92,1.93,1.86,18,0.25,1.81,1.76,2.15,2.09
B1,03/11/18,Cercle Brugge,Mouscron,,,,,,,2.25,3.3,3.2,2.2,3.5,3.2,2.2,3.45,3,2.27,3.68,3.07,2.2,3.6,3,2.2,3.5,3.13,36,2.3,2.22,3.7,3.51,3.3,3.06,33,1.84,1.77,2.12,2.02,18,-0.25,1.99,1.93,1.96,1.89
B1,03/11/18,Genk,Club Brugge,,,,,,,1.9,3.6,3.75,1.91,3.8,3.75,1.87,3.7,3.6,1.92,4.01,3.71,1.88,3.9,3.6,1.9,3.8,3.7,37,2,1.91,4.01,3.78,3.8,3.62,33,1.65,1.6,2.4,2.28,17,-0.25,1.76,1.69,2.26,2.18
B1,03/11/18,Gent,Kortrijk,,,,,,,1.61,4,5,1.65,3.9,5.25,1.65,3.8,4.7,1.68,3.91,5.24,1.65,4,4.75,1.65,4,5,37,1.7,1.65,4.2,3.9,5.25,4.92,35,1.75,1.69,2.2,2.12,20,-1,2.25,2.16,1.75,1.7
B1,04/11/18,Lokeren,Eupen,,,,,,,2.45,3.3,2.8,2.45,3.4,2.85,2.4,3.4,2.7,2.52,3.6,2.75,2.45,3.5,2.62,2.5,3.5,2.7,36,2.55,2.46,3.6,3.44,2.85,2.72,34,1.88,1.77,2.1,2.01,18,-0.25,2.23,2.13,1.77,1.71
B1,04/11/18,St Truiden,Waregem,,,,,,,2,3.5,3.6,2,3.6,3.7,2.05,3.45,3.35,2.12,3.41,3.68,2.05,3.5,3.4,2.1,3.5,3.4,36,2.15,2.06,3.65,3.48,3.77,3.47,33,1.7,1.62,2.35,2.23,17,-0.5,2.11,2.06,1.84,1.78
B1,04/11/18,Standard,Antwerp,,,,,,,1.95,3.5,3.75,2.05,3.6,3.5,2,3.45,3.45,2.06,3.65,3.57,2,3.6,3.4,2,3.5,3.6,35,2.06,2.01,3.7,3.56,3.75,3.52,33,1.9,1.81,2.07,1.97,17,-0.25,1.8,1.75,2.17,2.09
B1,04/11/18,Waasland-Beveren,Anderlecht,,,,,,,5.5,3.8,1.61,5,4.1,1.65,4.65,3.85,1.65,4.94,3.94,1.7,4.5,4,1.67,5,3.8,1.67,35,5.5,4.81,4.2,3.93,1.72,1.66,32,1.7,1.65,2.3,2.19,19,1,1.79,1.72,2.23,2.13
D1,02/11/18,Stuttgart,Ein Frankfurt,,,,,,,3,3.5,2.3,2.9,3.5,2.4,2.75,3.4,2.55,3.03,3.57,2.41,2.9,3.5,2.35,3.13,3.4,2.38,32,3.13,2.96,3.6,3.47,2.55,2.39,31,1.87,1.81,2.13,1.99,15,0.25,1.87,1.83,2.1,2.05
D1,03/11/18,Augsburg,Nurnberg,,,,,,,1.6,3.8,6,1.6,4,5.75,1.7,3.8,5,1.61,4.2,5.85,1.6,4,5.25,1.6,4.2,5.75,35,1.7,1.6,4.4,4.18,6,5.59,34,1.76,1.71,2.25,2.13,20,-1,2.15,2,1.92,1.86
D1,03/11/18,Bayern Munich,Freiburg,,,,,,,1.11,10,21,1.11,11,18.5,1.12,9,20,1.1,10.87,29.23,1.08,11,23,1.09,12,23,36,1.12,1.1,12,10.41,34,24.69,32,1.31,1.28,3.9,3.58,20,-2.5,1.89,1.85,2.06,2.02
D1,03/11/18,Hertha,RB Leipzig,,,,,,,3.2,3.4,2.25,3.3,3.4,2.2,2.85,3.3,2.5,3.32,3.59,2.24,3.1,3.4,2.25,3.2,3.5,2.25,36,3.35,3.22,3.65,3.45,2.5,2.24,35,1.85,1.77,2.11,2.04,18,0.25,1.98,1.93,1.98,1.94
D1,03/11/18,Leverkusen,Hoffenheim,,,,,,,2.1,4,3.1,2.15,3.6,3.25,2.1,3.6,3.35,2.23,3.9,3.12,2.2,3.75,3,2.2,3.8,3,34,2.25,2.17,4,3.82,3.35,3.1,33,1.5,1.43,3,2.76,18,-0.25,1.96,1.92,2.02,1.95
D1,03/11/18,Schalke 04,Hannover,,,,,,,1.61,3.8,6,1.62,3.8,5.75,1.65,4,5.1,1.67,3.88,5.84,1.62,3.8,5.5,1.67,3.9,5.5,36,1.69,1.64,4.05,3.83,6.31,5.63,35,1.9,1.83,2.05,1.97,20,-1,2.21,2.14,1.81,1.75
D1,03/11/18,Wolfsburg,Dortmund,,,,,,,3.8,3.8,1.9,3.8,3.75,1.91,4,3.8,1.85,3.85,3.84,1.97,3.6,3.75,1.95,3.75,3.75,2,36,4,3.8,3.9,3.76,2,1.94,35,1.7,1.63,2.35,2.26,19,0.25,2.31,2.24,1.75,1.7
