date,temp_high,temp_low,temp_mean,wind_speed,humidity_high,humidity_low,humidity_mean,is_rain
2011-08-01,23,16,19,2011-08-01,100,61,79,True
2011-08-02,23,16,18,2011-08-02,100,61,84,True
2011-08-03,25,13,19,2011-08-03,94,54,75,False
2011-08-04,19,14,16,2011-08-04,94,77,87,True
2011-08-05,20,13,16,2011-08-05,94,49,72,False
2011-08-06,18,12,14,2011-08-06,94,59,76,True
2011-08-07,19,11,13,2011-08-07,94,52,78,True
2011-08-08,18,10,13,2011-08-08,100,55,79,True
2011-08-09,17,9,13,2011-08-09,88,55,69,False
2011-08-10,17,10,13,2011-08-10,94,68,86,True
2011-08-11,18,15,16,2011-08-11,94,83,90,True
2011-08-12,20,14,16,2011-08-12,100,78,88,True
2011-08-13,19,13,16,2011-08-13,94,64,80,True
2011-08-14,19,10,14,2011-08-14,94,43,74,False
2011-08-15,19,9,14,2011-08-15,94,46,72,True
2011-08-16,20,10,15,2011-08-16,94,64,84,True
2011-08-17,18,8,13,2011-08-17,100,45,72,False
2011-08-18,20,6,12,2011-08-18,100,49,79,True
2011-08-19,19,8,14,2011-08-19,100,52,75,False
2011-08-20,21,12,16,2011-08-20,100,60,81,True
2011-08-21,20,12,16,2011-08-21,94,60,77,True
2011-08-22,22,11,16,2011-08-22,100,38,68,False
2011-08-23,20,12,16,2011-08-23,88,46,62,False
2011-08-24,21,10,14,2011-08-24,94,49,77,True
2011-08-25,19,9,13,2011-08-25,94,49,74,True
2011-08-26,16,10,12,2011-08-26,94,77,86,True
2011-08-27,16,9,12,2011-08-27,100,72,89,True
2011-08-28,16,9,12,2011-08-28,94,59,81,True
2011-08-29,13,10,11,2011-08-29,94,77,85,True
2011-08-30,15,11,13,2011-08-30,94,68,80,True
2011-08-31,16,9,12,2011-08-31,94,63,83,False
2011-09-01,20,7,14,2011-09-01,100,49,70,False
2011-09-02,21,13,16,2011-09-02,88,56,72,False
2011-09-03,19,15,17,2011-09-03,88,73,79,True
2011-09-04,19,11,15,2011-09-04,100,49,77,True
2011-09-05,16,10,12,2011-09-05,94,59,82,True
2011-09-06,16,12,13,2011-09-06,88,68,81,True
2011-09-07,16,10,12,2011-09-07,94,63,82,True
2011-09-08,19,11,14,2011-09-08,94,64,84,True
2011-09-09,21,13,17,2011-09-09,94,60,81,False
